"year","war","ccodea","ccodeb","original","contig.x","rivals","allies","democ_a","pow_prev","mil_prev","pow_abs","mil_abs","relpow","rate","powershift","lndistance","contig.y","dem","s_un_glo","peaceyrs","peaceyrs2","peaceyrs3","real"
1866,1,255,269,0,1,0,1,0,0.00249999994412065,-0.00135000003501773,0.00249999994412065,0.00135000003501773,0.130694404244423,3.43,0.0315196365118027,4.63472890853882,1,0,0.951219022274017,1,1,1,2.793269304
1866,1,280,267,0,0,0,1,0,0,0,0,0,0.344811290502548,3.43,0.133402049541473,5.98645210266113,0,NA,1,23,529,12167,2.793269304
1866,1,255,273,0,0,0,1,0,-0.000650000001769513,-0.000730000028852373,0.000650000001769513,0.000730000028852373,0.0213321428745985,3.43,NA,5.22574663162231,1,NA,0.951219022274017,15,225,3375,2.793269304
1866,1,325,300,0,1,0,0,0,-0.0204499997198582,-0.0244999993592501,0.0204499997198582,0.0244999993592501,0.362998753786087,3.43,0.0786017179489136,6.1377272605896,1,0,0.447153985500336,6,36,216,2.793269304
1866,1,280,240,0,1,0,1,0,0.00412999978289008,0.00255000009201467,0.00412999978289008,0.00255000009201467,0.182976201176643,3.43,NA,5.03043794631958,1,NA,1,23,529,12167,2.793269304
1866,1,280,269,0,1,0,1,0,0.00575000001117587,0.00249000010080636,0.00575000001117587,0.00249000010080636,0.0873998254537582,3.43,0.0858098864555359,5.39362764358521,0,NA,1,23,529,12167,2.793269304
1866,1,255,267,0,0,0,1,0,-0.000969999993685633,-0.00158999999985099,0.000969999993685633,0.00158999999985099,0.0288949925452471,3.43,0.0144278071820736,5.82600021362305,1,0,0.951219022274017,165,27225,4492125,2.793269304
1866,1,255,245,0,0,0,1,0,0,0,0,0,0.139031052589417,3.43,0.00927217304706573,5.74620342254639,1,0,0.951219022274017,15,225,3375,2.793269304
1866,1,255,271,0,0,0,1,0,-0.000720000010915101,0,0.000720000010915101,0,0.0318643450737,3.43,0.00660734251141548,5.75890159606934,1,0,0.951219022274017,15,225,3375,2.793269304
1866,1,280,271,0,0,0,1,0,0.00212999992072582,0.00547000020742416,0.00212999992072582,0.00547000020742416,0.304896265268326,3.43,0.0793196558952332,5.96100521087646,0,NA,1,23,529,12167,2.793269304
1866,1,280,273,0,0,0,1,0,0,0.00267999991774559,0,0.00267999991774559,0.462797850370407,3.43,NA,5.39816284179688,0,NA,1,23,529,12167,2.793269304
1866,1,255,275,0,0,0,1,0,-0.000322000007145107,0.000449999992270023,0.000322000007145107,0.000449999992270023,0.0223198812454939,3.43,NA,5.5683445930481,1,NA,0.951219022274017,165,27225,4492125,2.793269304
1866,1,255,240,0,1,0,1,0,0,-0.00104000000283122,0,0.00104000000283122,0.0534385405480862,3.43,NA,5.03695249557495,1,NA,0.951219022274017,1,1,1,2.793269304
1866,1,255,300,1,1,0,1,0,-0.00725999986752868,-0.00855999998748302,0.00725999986752868,0.00855999998748302,0.752490162849426,3.43,-0.0142702460289001,5.7868971824646,1,0,0.853658974170685,0,0,0,2.793269304
1866,1,280,245,0,0,0,1,0,0.00219999998807907,0,0.00219999998807907,0,0.0759843736886978,3.43,0.0234206318855286,6.02102327346802,0,NA,1,23,529,12167,2.793269304
1866,1,280,300,0,0,0,1,0,0,0,0,0,0.00760403461754322,3.43,0.00197207927703857,6.10031890869141,0,NA,0.902438998222351,23,529,12167,2.793269304
1870,1,245,255,0,0,0,1,0,0.00430000014603138,0.00848999992012978,0.00430000014603138,0.00848999992012978,0.127341121435165,3.27,-0.00491851568222046,5.74620342254639,1,0,0.837837994098663,3,9,27,3.071919949
1870,1,267,255,0,0,0,1,0,0.00120000005699694,0.00248000002466142,0.00120000005699694,0.00248000002466142,0.0256199352443218,3.27,NA,5.82600021362305,1,0,0.837837994098663,3,9,27,3.071919949
1870,1,271,255,0,0,0,1,0,0.00101999996695668,0.00104999996256083,0.00101999996695668,0.00104999996256083,0.0282020587474108,3.27,NA,5.75890159606934,1,0,0.837837994098663,3,9,27,3.071919949
1870,1,220,255,1,1,1,0,0,0.00836999993771315,0.00917000044137239,0.00836999993771315,0.00917000044137239,0.472839593887329,3.27,-0.0710685551166534,6.30078601837158,1,0,0.639639973640442,3,9,27,3.071919949
1874,0,300,145,1,0,0,0,0,0,0,0,0,0.00904460716992617,3.2625,0.00653653685003519,8.82790756225586,0,0,0.656566023826599,26,676,17576,3.763807703
1874,0,220,600,1,0,0,0,0,0.000192000006791204,0,0.000192000006791204,0,0.012220686301589,3.2625,0.000368052162230015,7.02908754348755,0,0,0.757575988769531,27,729,19683,3.763807703
1875,0,630,640,1,1,0,0,0,-0.00272200000472367,0,0.00272200000472367,0,0.166754320263863,3.215,-0.299340486526489,6.9603476524353,1,0,0.882353007793427,20,400,8000,3.920052032
1875,0,255,2,1,0,0,0,0,-0.0110200000926852,-0.0173300001770258,0.0110200000926852,0.0173300001770258,0.630884408950806,3.215,0.0946985185146332,8.33615112304688,0,0,0.84313702583313,99,9801,970299,3.920052032
1876,1,365,640,1,1,1,0,0,0,0,0,0,0.265646457672119,3.175,-0.113761976361275,7.01660966873169,1,0,0.847618997097015,19,361,6859,4.054776608
1876,1,90,92,1,1,0,0,0,0.175999999046326,0.372999995946884,0.175999999046326,0.372999995946884,0.703796982765198,3.175,-0.0823116302490234,4.6913480758667,1,0,0.885713994503021,1,1,1,4.054776608
1878,0,651,200,1,0,0,0,0,0,0,0,0,0.0211406871676445,3.17,0.00468504428863525,7.68845558166504,0,NA,0.765766024589539,23,529,12167,4.328209377
1879,0,255,740,1,0,0,0,0,-0.00874799955636263,0.00473000016063452,0.00874799955636263,0.00473000016063452,0.28706094622612,3.09,0.00953228771686554,8.62119293212891,0,0,0.837837994098663,19,361,6859,4.323255563
